          x(meter)            y(meter)                 u(m/s)              v(m/s)
        507992.43750        4374331.00000             -0.00347              0.00744
        509730.46875        4370209.00000              0.00691              0.01076
        506293.18750        4366150.00000              0.01162              0.00658
        508297.03125        4361461.50000              0.00853              0.00304
        505474.65625        4356979.50000              0.01428              0.00162
        499644.81250        4356865.00000              0.01501              0.00423
        496953.15625        4352030.50000              0.00340              0.00672
        499968.34375        4347764.00000              0.01326              0.00901
        497477.43750        4342916.50000              0.01539              0.00733
        491826.25000        4342328.50000              0.00717              0.00433
        489496.15625        4337109.50000              0.02008              0.00473
        493237.56250        4332616.00000              0.00914              0.00808
        491236.65625        4326759.00000              0.00931              0.01153
        485167.03125        4326147.00000              0.00460              0.01257
        482718.34375        4321385.50000              0.01449              0.00056
